X,Y,OBJECTID,Type,Name_Full,Name_Line1,Name_Line2,STATUS,ODE_Institution_ID,ODE_ELD_License_No,DHS_OHA_Alt_ID,Site_Address_Line1,Site_Address_Line2,Site_City,Site_State,Site_Zipcode,Site_Zipcode_Plus4,Mail_Address_Line1,Mail_Address_Line2,Mail_City,Mail_State,Mail_Zipcode,Mail_Zipcode_Plus4,Phone,Phone_Fax,Email,Website,Parent_Institution_Name,Grade_Lowest_NS12,Grade_Highest_NS12,Beginning_Age_In_Months,End_Age_In_Years,Early_Learning_HUB_Name,County_Name,County_FIPS_Code,DHS_CW_District_Number,FlashAlert_Region,SBHC_Name,JoinId,POINT_X,POINT_Y,cSteward,effDate,Review_Date,Review_Staff_Name,Review_Method
-13834459.6342,5169226.8162,1,Child Care Center,South Coast Head Start - Brookings,South Coast Head Start - Brookings,,Active,,CC503387,,420 Redwood Spur St,,Brookings,OR,97415,,1855 Thomas Ave,,Coos Bay,OR,97420,,541-469-6137,,dsmith.schs@orcca.us,,,,,1,5,South Coast Regional Early Learning Hub,CURRY,15,7,Medford / Klamath Falls / Grants Pass,,CC503387,-124.277065369,42.0550338510001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2023/06/15 09:45:24+00,conor flannigan,google maps
-13550909.3278,5187400.6619,2,Family Child Care Home,"Daniels, Jennifer Renee","Daniels, Jennifer Renee",,Active,,RF053609,,5016 Southview Dr,,Klamath Falls,OR,97603,8545,5016 Southview Dr,,Klamath Falls,OR,97603,8545,541-591-4822,,trevonrd@charter.net,,,,,,,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,RF053609,-121.729889629,42.176137827,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2023/06/13 10:26:42+00,conor flannigan,google maps
-13550623.1078,5188813.6877,3,Family Child Care Home,"Rivera, Jennifer Leslie-Nichole","Rivera, Jennifer Leslie-Nichole",,Active,,RF533654,,4451 Allyn St,,Klamath Falls,OR,97603,8079,4451 Allyn St,,Klamath Falls,OR,97603,8079,541-281-8183,,Jennq83@yahoo.com,,,,,,,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,RF533654,-121.727318471,42.1855440260001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2023/06/13 10:30:09+00,conor flannigan,cadastral
-13557945.737,5197332.6128,4,Family Child Care Home,"Rogers, Diane Maureen","Rogers, Diane Maureen",,Active,,RF520697,,325 Hawthorne St,,Klamath Falls,OR,97601,1601,325 Hawthorne St,,Klamath Falls,OR,97601,1601,541-205-4933,,msdianerogers@yahoo.com,,,,,,,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,RF520697,-121.793098768,42.242222972,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2023/06/13 13:28:50+00,conor flannigan,google maps
-13555051.6663,5193654.5334,5,Certified Family Child Care,Little Swans Child Care,Little Swans Child Care,,Active,,CF503191,,1242 Owens St,,Klamath Falls,OR,97601,3319,1242 Owens St,,Klamath Falls,OR,97601,3319,541-892-3335,,littleswanschildcarekf@gmail.com,,,,,2,13,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,CF503191,-121.767100889,42.2177578540001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2023/06/13 13:16:42+00,conor flannigan,"google maps, cadastral"
-13657518.3386,5188428.1509,6,Child Care Center,Children's World Montessori Preschool and Kindergarten,Children's World Montessori Preschool and Kindergarten,,Active,,CC052111,,1615 Clark Ave,,Ashland,OR,97520,3406,1170 Oak St,,Ashland,OR,97520,,541-482-1314,,michellek@riousa.com,,,,,18,10,Southern Oregon Early Learning Services,JACKSON,29,8,Medford / Klamath Falls / Grants Pass,,CC052111,-122.687574667,42.182977732,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2023/06/15 15:49:54+00,conor flannigan,"google maps, cadastral"
-13663167.6728,5195205.6264,7,Certified Family Child Care,Ashland Play Right Home School Group,Ashland Play Right Home School Group,,Active,,CF503422,,109 Orchard Ln,,Ashland,OR,97520,9627,109 Orchard Ln,,Ashland,OR,97520,9627,541-660-1951,,lathorson2@gmail.com,,,,,18,12,Southern Oregon Early Learning Services,JACKSON,29,8,Medford / Klamath Falls / Grants Pass,,CF503422,-122.7383235,42.228076263,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2023/06/15 16:28:11+00,conor flannigan,cadastral
-13556093.6819,5194636.2048,8,Child Care Center,A Family Gathering Place,A Family Gathering Place,,Active,,CC503856,,509 Commercial St,,Klamath Falls,OR,97601,6239,509 Commercial St,,Klamath Falls,OR,97601,6239,541-331-4217,,mcollier@lcsnw.org,,,,,1,5,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,CC503856,-121.776461474,42.224288469,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2023/06/13 13:27:30+00,conor flannigan,google maps
-13515456.3399,5162507.7767,9,Child Care Center,"OCDC - Klamath County, Malin","OCDC - Klamath County, Malin",,Active,,CC001309,,2199 1/2 Third St,,Malin,OR,97632,,4509 S 6th St Ste 101,,Klamath Falls,OR,97603,4881,541-723-3067,,patricia.key@OCDC.net,,,,,1,6,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,CC001309,-121.41141002,42.010202,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/01/01 08:00:00+00,Arron Heriford,Google Maps
-13515486.6767,5162633.4713,10,Public School,Malin Elementary School,Malin Elementary School,,Active,475,,,2153 Third St,,Malin,OR,97632,0,PO Box 25,,Malin,OR,97632,25,541-723-2261,541-723-2184,ongmanl@kcsd.k12.or.us,www.kcsd.k12.or.us,Klamath County SD,-1,6,-99,-99,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,475,-121.41168254,42.0110409700001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/02/19 00:00:00+00,Chris Rowlette,Email
-13514918.3495,5162829.5757,11,Family Child Care Home,"Dickinson, Dana Marie","Dickinson, Dana Marie",,Inactive,,RF534819,,2404 5th St,,Malin,OR,97632,,PO Box 356,,Malin,OR,97632,,541-591-1639,,rnddickinson@gmail.com,,,,,,,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,RF534819,-121.40657717,42.01234988,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/07/11 00:00:00+00,Dani Hall,Google Maps
-13525736.7717,5163351.0862,12,Public School,Lost River High School,Lost River High School,,Active,486,,,23330 Hwy 50,,Merrill,OR,97633,9706,23330 Hwy 50,,Merrill,OR,97633,9706,541-798-5666,541-798-5072,johnsonst@kcsd.k12.or.us,www.kcsd.k12.or.us,Klamath County SD,7,12,-99,-99,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,486,-121.50376071,42.0158306000001,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/02/19 00:00:00+00,Chris Rowlette,Email
-13536797.355,5164517.7529,13,Child Care Center,Klamath Falls Head Start - Merrill Site,Klamath Falls Head Start - Merrill Site,,Active,,CC502421,,365 W Front St,,Merrill,OR,97633,,1940 S 6th St,,Klamath Falls,OR,97601,,541-798-1043,,kelli.carpenter@kfheadstart.org,,,,,1,5,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,CC502421,-121.60311962,42.0236166,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2020/01/01 08:00:00+00,Arron Heriford,Google Street View
-13536949.0189,5164918.3215,14,Public School,Merrill Elementary School,Merrill Elementary School,,Active,476,,,406 W Second St,,Merrill,OR,97633,0,PO Box 468,,Merrill,OR,97633,468,541-798-5723,541-798-5814,ongmanl@kcsd.k12.or.us,www.kcsd.k12.or.us,Klamath County SD,-1,6,-99,-99,South-Central Oregon Early Learning Hub,KLAMATH,35,11,Medford / Klamath Falls / Grants Pass,,476,-121.60448204,42.02628966,"Oregon Department of Human Services / Oregon Health Authority, Office of Resilience and Emergency Management (OREM)",2023/02/14 00:00:00+00,2015/02/19 00:00:00+00,Chris Rowlette,Email
